clusterID,year,gcm,scenario,tminmean,tmaxmean,tjan,wi,prsum,snowmax,timelabel,identifier,current_mean,current_sd,current_min,sasaReduct,sasaReduct_cut
1,2021,CSIRO-Mk3-6-0,RCP8.5,2.6957682712890625,12.58020847626302,-8.10859389296875,98.1863293765625,1695.0265850859375,226.08217030259732,Other,CSIRO-Mk3-6-0 RCP8.5,219.08740271362763,39.38027130826699,179.70713140536063,1,NA
1,2021,GFDL-CM3,RCP8.5,4.932421961992188,15.605143387434895,-7.5390625890625,125.92343898640625,2047.9914412890625,162.22540755728963,Other,GFDL-CM3 RCP8.5,171.01261763839182,31.468265141715452,139.54435249667637,1,NA
1,2021,HadGEM2-ES,RCP8.5,4.685872461809896,14.00097671484375,-9.6796877265625,114.98789202984375,1791.06408028125,130.312008608027,Other,HadGEM2-ES RCP8.5,196.08173380577537,51.36135418943327,144.7203796163421,0.29352284061628325,0.75
1,2021,MIROC5,RCP2.6,4.2197917368098965,13.815625155572917,-6.9906250734375,114.12617332203125,1622.31875540625,277.2903493838189,Other,MIROC5 RCP2.6,216.8341458103099,50.33641814759207,166.49772766271784,1,NA
1,2022,CSIRO-Mk3-6-0,RCP8.5,3.025976598763021,13.725455871158854,-10.6078126875,107.9914074546875,1788.50235565625,204.8750847722711,Other,CSIRO-Mk3-6-0 RCP8.5,219.08740271362763,39.38027130826699,179.70713140536063,1,NA
1,2022,GFDL-CM3,RCP8.5,5.689843833763021,14.692187660481771,-6.20468756328125,123.04101709515625,1423.6679921796874,151.0957830748438,Other,GFDL-CM3 RCP8.5,171.01261763839182,31.468265141715452,139.54435249667637,1,NA
1,2022,HadGEM2-ES,RCP8.5,4.767122460611979,13.694987129557292,-9.07812517421875,115.05625138671876,1676.6539199375,140.49087102660164,Other,HadGEM2-ES RCP8.5,196.08173380577537,51.36135418943327,144.7203796163421,0.36781793346154473,0.65
1,2022,MIROC5,RCP2.6,4.151953174882812,13.485872548919271,-9.23125021328125,110.31757944773437,1925.9281498437501,248.9893610314803,Other,MIROC5 RCP2.6,216.8341458103099,50.33641814759207,166.49772766271784,1,NA
1,2023,CSIRO-Mk3-6-0,RCP8.5,3.6992188017578123,12.548698074960937,-7.22656255390625,104.79687632226562,1089.1679819765625,248.38925123301863,Other,CSIRO-Mk3-6-0 RCP8.5,219.08740271362763,39.38027130826699,179.70713140536063,1,NA
1,2023,GFDL-CM3,RCP8.5,5.845052154388021,14.598698075651042,-5.457812565625,123.08593888765625,1426.2625219453125,172.80078867792074,Other,GFDL-CM3 RCP8.5,171.01261763839182,31.468265141715452,139.54435249667637,1,NA
1,2023,HadGEM2-ES,RCP8.5,4.140690169466146,12.822200657877604,-5.3101563109375,104.01992313125,1160.2031414609376,185.5574863349726,Other,HadGEM2-ES RCP8.5,196.08173380577537,51.36135418943327,144.7203796163421,1,NA
1,2023,MIROC5,RCP2.6,3.512760473763021,13.333203259101563,-8.3164063421875,105.67265744648438,1585.8914305234375,247.49169344292403,Other,MIROC5 RCP2.6,216.8341458103099,50.33641814759207,166.49772766271784,1,NA
1,2024,CSIRO-Mk3-6-0,RCP8.5,2.891341182018229,11.808854314388022,-8.59140642578125,92.3546887003125,1342.76954525,220.02651964546385,Other,CSIRO-Mk3-6-0 RCP8.5,219.08740271362763,39.38027130826699,179.70713140536063,1,NA
1,2024,GFDL-CM3,RCP8.5,5.9167318460416665,14.745898609570313,-3.85312504140625,124.69336087078125,1614.4734611562499,123.39874764564662,Other,GFDL-CM3 RCP8.5,171.01261763839182,31.468265141715452,139.54435249667637,0.3757057073121803,0.65
1,2024,HadGEM2-ES,RCP8.5,5.568424563346354,13.223698070507812,-6.46953131328125,115.66836084257812,1519.4328282109375,184.0773833531482,Other,HadGEM2-ES RCP8.5,196.08173380577537,51.36135418943327,144.7203796163421,1,NA
1,2024,MIROC5,RCP2.6,5.7378906863932295,14.544466286197917,-8.053906404687499,125.23984502851562,1630.239084046875,273.5245548504653,Other,MIROC5 RCP2.6,216.8341458103099,50.33641814759207,166.49772766271784,1,NA
1,2025,CSIRO-Mk3-6-0,RCP8.5,4.436979219427084,14.104492339648438,-6.9015625734375,116.19492319390625,1185.11954390625,164.05845097628386,Other,CSIRO-Mk3-6-0 RCP8.5,219.08740271362763,39.38027130826699,179.70713140536063,0.4198978003199512,0.6
1,2025,GFDL-CM3,RCP8.5,5.838932360820312,15.058073104361979,-6.7851563015625,128.3843765825,1782.7570551484375,132.98275003581082,Other,GFDL-CM3 RCP8.5,171.01261763839182,31.468265141715452,139.54435249667637,0.4702203986359843,0.55
1,2025,HadGEM2-ES,RCP8.5,5.781770908085937,14.328515779947917,-5.748437546875,122.96289200867187,1393.0976663515626,234.94453693628685,Other,HadGEM2-ES RCP8.5,196.08173380577537,51.36135418943327,144.7203796163421,1,NA
1,2025,MIROC5,RCP2.6,6.528776127669271,15.421940272200521,-5.8984375515625,132.34648590742188,1365.2836105390625,175.04965442232896,Other,MIROC5 RCP2.6,216.8341458103099,50.33641814759207,166.49772766271784,1,NA
1,2026,CSIRO-Mk3-6-0,RCP8.5,3.0167317848046875,13.628711096484375,-9.1843752421875,106.39609498773437,1773.244551234375,174.1656697781194,Other,CSIRO-Mk3-6-0 RCP8.5,219.08740271362763,39.38027130826699,179.70713140536063,0.5023835868429203,0.5
1,2026,GFDL-CM3,RCP8.5,5.136979225976562,14.645442874414062,-6.71328131640625,120.78437637617188,1479.8211131093751,156.82310950781897,Other,GFDL-CM3 RCP8.5,171.01261763839182,31.468265141715452,139.54435249667637,1,NA
