"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",58,0,0,0,0,0,0,15,0,0
"betuerma",184,0,0,0,0,2,0,17,0,0
"larikaem",1,0,6,0,0,0,0,2,0,0
"crypjapo",1,0,0,0,0,0,0,1,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",570,0,1,0,0,0,0,91,0,0
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,4,0,0,0,0,0,803,0,0
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
