gridID,mng_name,trt,climate,t1_mean,t1_se,t3_mean,t3_se,n
791409,SL2,Natural Forest,RCP8.5 GFDL,3.665,0,14.623199999999999,1.328941699247939,5
791409,SL2,Natural Forest,RCP8.5 HadGEM2,3.665,0,8.4378,0.9312499879194628,5
816761,CL,Natural Forest,Current,4.241,0,1.4118,0.09695792902078716,5
816761,CL,Natural Forest,RCP2.6 MIROC5,4.241,0,1.6466,0.08123459854027713,5
816761,CL,Natural Forest,RCP8.5 CSIRO,4.241,0,3.4118,0.21575574152267654,5
816761,CL,Natural Forest,RCP8.5 GFDL,4.241,0,14.3402,0.361414498879057,5
816761,CL,Natural Forest,RCP8.5 HadGEM2,4.241,0,14.8158,0.32670053565918755,5
816761,SL1,Natural Forest,Current,4.241,0,1.3472,0.13732785587782254,5
816761,SL1,Natural Forest,RCP2.6 MIROC5,4.241,0,1.804,0.09149207615963255,5
816761,SL1,Natural Forest,RCP8.5 CSIRO,4.241,0,3.3202,0.19725044993611549,5
816761,SL1,Natural Forest,RCP8.5 GFDL,4.241,0,14.2858,0.5072024645050535,5
816761,SL1,Natural Forest,RCP8.5 HadGEM2,4.241,0,14.5798,0.6173828147916008,5
816761,SL2,Natural Forest,Current,4.241,0,1.3668,0.09732800213710337,5
816761,SL2,Natural Forest,RCP2.6 MIROC5,4.241,0,1.55,0.08139287438099235,5
816761,SL2,Natural Forest,RCP8.5 CSIRO,4.241,0,3.6608,0.25196515632126604,5
816761,SL2,Natural Forest,RCP8.5 GFDL,4.241,0,14.8506,0.698592771219399,5
816761,SL2,Natural Forest,RCP8.5 HadGEM2,4.241,0,14.869,0.7100726723371346,5
871002,CL,Natural Forest,Current,4.299,0,1.3466,0.06355202593151535,5
871002,CL,Natural Forest,RCP2.6 MIROC5,4.299,0,1.57,0.104,5
871002,CL,Natural Forest,RCP8.5 CSIRO,4.299,0,2.8770000000000002,0.13122194938347775,5
871002,CL,Natural Forest,RCP8.5 GFDL,4.299,0,14.1392,0.37767544267532127,5
871002,CL,Natural Forest,RCP8.5 HadGEM2,4.299,0,13.4436,0.7474499715700041,5
871002,SL1,Natural Forest,Current,4.299,0,1.5268,0.12216153240689145,5
871002,SL1,Natural Forest,RCP2.6 MIROC5,4.299,0,1.6696,0.11098315187450751,5
871002,SL1,Natural Forest,RCP8.5 CSIRO,4.299,0,3.3286000000000002,0.3596660395422398,5
871002,SL1,Natural Forest,RCP8.5 GFDL,4.299,0,13.5372,0.3706966954263281,5
871002,SL1,Natural Forest,RCP8.5 HadGEM2,4.299,0,13.6642,0.926464969656166,5
871002,SL2,Natural Forest,Current,4.299,0,1.2778,0.15050129567548579,5
871002,SL2,Natural Forest,RCP2.6 MIROC5,4.299,0,1.2915999999999999,0.05973491441359904,5
