"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",67,0,0,0,0,0,0,5,0,0
"betuerma",199,0,0,0,0,0,0,4,0,0
"larikaem",5,0,0,1,0,0,0,3,0,0
"crypjapo",1,0,0,0,0,0,0,0,0,1
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",644,0,0,5,0,0,0,11,0,2
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",54,302,0,0,0,0,0,423,0,29
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
