"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",0,28,0,0,0,2,0,39,0,3
"betuerma",17,135,0,0,0,2,0,42,0,7
"larikaem",0,0,6,0,0,0,0,3,0,0
"crypjapo",0,0,0,1,0,0,0,1,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",18,21,1,1,0,135,0,438,0,48
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,0,0,0,0,4,0,804,0,0
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
