t1_saplings_agb_cut,t1_sasa_cut,mng_case,climate,min,median,mean,sd,max,n,se
<1 kg/m2,<2 kg/m2,CL,Current,4.436408163265306,4.562214285714286,4.534212244897959,0.07782785491069379,4.608530612244898,5,0.034805674824660425
<1 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,2.8658571428571427,3.0809285714285712,3.014869387755102,0.11619891325968679,3.110887755102041,5,0.051965733792052264
<1 kg/m2,<2 kg/m2,CL,RCP8.5 CSIRO,13.068010204081633,13.153336734693877,13.167704081632653,0.08224280869124312,13.254469387755101,5,0.036780102178826025
<1 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,16.004357142857142,16.175285714285714,16.19855306122449,0.1631962833052012,16.457510204081633,5,0.07298359662914879
<1 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,15.368673469387755,15.550765306122448,15.519242857142856,0.1056231970560993,15.634275510204082,5,0.04723612972365874
<1 kg/m2,<2 kg/m2,SL,Current,15.045591836734694,15.096051020408163,15.132869387755102,0.08902720518596359,15.269265306122449,5,0.03981417652852728
<1 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,10.683816326530613,10.872183673469388,10.900177551020409,0.16345916481830772,11.125122448979592,5,0.07310116081581562
<1 kg/m2,<2 kg/m2,SL,RCP8.5 CSIRO,11.20357142857143,11.458091836734694,11.475957142857142,0.2023831955743744,11.769020408163266,5,0.09050851656158715
<1 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,11.07476530612245,11.176367346938775,11.174161224489795,0.07265636328772178,11.271244897959184,5,0.0324929134618532
<1 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,12.451173469387754,12.613275510204081,12.603061224489796,0.11367989599134568,12.731346938775511,5,0.05083919502235095
<1 kg/m2,<3 kg/m2,CL,Current,2.7679666666666667,2.9040666666666666,2.885813333333333,0.11418891413403988,3.0468,5,0.05106683485611994
<1 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,1.9869333333333334,2.1624,2.1703666666666668,0.12997763055404737,2.3280666666666665,5,0.058127763494640716
<1 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,11.088000000000001,11.258733333333334,11.304393333333334,0.20476339652280473,11.644033333333333,5,0.09157297478574708
