"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",0,17,0,0,0,47,0,12,0,0
"betuerma",0,83,0,0,0,114,0,3,0,0
"larikaem",0,1,6,0,0,0,0,2,0,0
"crypjapo",0,1,0,0,0,1,0,0,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",0,1,1,0,0,645,0,13,0,2
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,2,0,5,0,4,0,786,0,10
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
