"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",0,2,0,11,0,29,0,31,0,0
"betuerma",0,10,0,5,0,137,0,48,0,3
"larikaem",0,0,0,8,0,1,0,0,0,0
"crypjapo",0,0,0,0,0,1,0,1,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",0,0,0,10,0,370,0,278,0,4
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,1,0,793,0,0,0,13,0,0
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
