"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",4,39,0,0,0,0,0,29,0,0
"betuerma",10,176,0,0,0,0,0,13,0,4
"larikaem",0,0,0,2,0,0,0,7,0,0
"crypjapo",0,0,0,1,0,0,0,1,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",102,77,0,13,0,8,0,438,0,24
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,210,0,0,0,0,0,596,0,2
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
