"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",5,24,0,10,0,1,0,31,0,1
"betuerma",13,145,0,5,0,0,0,31,0,9
"larikaem",0,0,0,8,0,0,0,1,0,0
"crypjapo",0,0,0,1,0,0,0,1,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",28,18,0,11,0,111,0,428,0,66
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,0,0,795,0,0,0,13,0,0
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
