"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",0,13,0,11,0,51,0,1,0,0
"betuerma",0,72,0,5,0,123,0,0,0,0
"larikaem",0,1,0,8,0,0,0,0,0,0
"crypjapo",0,1,0,0,0,0,0,1,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",0,1,0,10,0,647,0,3,0,1
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,5,0,794,0,1,0,7,0,0
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
