"","sasa_spp","betuerma","larikaem","crypjapo","quercris","fagucren","acermono","abiesach","uncertain_sasa","uncertain_tree"
"sasa_spp",0,10,0,0,0,23,0,40,0,0
"betuerma",0,44,0,0,0,118,0,41,0,0
"larikaem",0,1,0,0,0,0,0,8,0,0
"crypjapo",0,1,0,0,0,0,0,1,0,0
"quercris",0,0,0,0,0,0,0,0,0,0
"fagucren",0,3,0,0,0,244,0,410,0,5
"acermono",0,0,0,0,0,0,0,0,0,0
"abiesach",0,6,0,0,0,0,0,801,0,0
"uncertain_sasa",0,0,0,0,0,0,0,0,0,0
"uncertain_tree",0,0,0,0,0,0,0,0,0,0
