#prcp
,eco001,eco002,eco003,eco001,eco002,eco003,eco001,eco002,eco003
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2014-01-01,83.35312678125,99.2570262644628,114.232933240964,138.28584870064,46.7598845148192,89.106794537209,11.7595003593112,6.83811995469655,9.43963953428355
2014-02-01,65.7390636484375,84.9669444132231,99.1313279799197,106.574531282044,55.8692539818738,96.9292128301689,10.3234941411348,7.474573832793,9.84526347185127
2014-03-01,97.4226583828125,112.524379628099,130.287549995984,136.948186170965,48.2063118522053,66.8443902458531,11.7024863243229,6.94307654085746,8.17584186771326
2014-04-01,43.6437503984375,54.1214884256198,64.5666673815261,43.2239082703785,48.382024203787,25.4225581395255,6.57448920224062,6.95571881287528,5.04207875181711
2014-05-01,92.43124928125,108.32603203719,125.44658648996,123.239380287833,145.919027944438,79.1765254131337,11.1013233575026,12.079694861396,8.89811920650278
2014-06-01,65.6218765078125,75.2743806198347,85.4433751084337,66.9056591335288,90.0431651214387,249.314296067735,8.17958795621936,9.48910770944448,15.7896895494413
2014-07-01,87.417969296875,101.466116909091,117.54778886747,60.71202828003,221.173276520992,656.647034463026,7.79179236633203,14.8718955254867,25.625125062388
2014-08-01,62.532031671875,72.746281214876,81.4694797269076,11.2199905371379,46.2364523224142,33.1489077860039,3.34962543236373,6.79973913635032,5.75750881770961
2014-09-01,218.0507875,257.284300867769,299.903615783133,194.824882965937,399.268027162239,343.597138059283,13.9579684397815,19.9816922997588,18.5363733793664
2014-10-01,125.226565085937,152.38801811157,181.682727429719,156.401301364762,332.389565691044,231.188593947419,12.5060505902048,18.2315541216607,15.2048871731236
2014-11-01,84.268750046875,100.298762132231,118.228114771084,127.92108352742,136.070013917009,90.6306759700479,11.3102203129479,11.6649052253762,9.52001449421417
2014-12-01,122.38750228125,138.813638206612,160.002415140562,118.08316284026,145.693439667497,303.326863506764,10.866607696989,12.070353750719,17.4162815637197
2015-01-01,81.453126484375,97.1603325247934,110.838151670683,133.585820584411,47.5332748080277,77.6127914357843,11.5579332315259,6.89443796172158,8.80981222477439
2015-02-01,87.4835955078125,111.762808016529,131.625701995984,169.192481217834,105.115036406046,193.234342759976,13.00740101703,10.2525624312191,13.9008756112691
2015-03-01,84.677345296875,98.1012383677686,111.851809257028,100.44174640986,28.1379820310782,24.7296031356218,10.0220629817348,5.30452467531994,4.97288680100621
2015-04-01,143.067189132813,173.966946528926,207.337753574297,412.057975119889,489.46012261948,257.772216759142,20.299211194524,22.1237456733592,16.0552862559078
2015-05-01,164.3328128125,190.548760661157,219.813254417671,357.512064038504,420.282125793946,291.848024402576,18.9079894234819,20.5007835409758,17.0835600623107
2015-06-01,131.99453240625,150.808262871901,172.587550028112,254.613078153537,374.899196396913,1036.80306444671,15.9565998305885,19.3623138182634,32.1994264614559
2015-07-01,178.708595859375,202.690502231405,230.872298192771,183.636592568916,652.173626223313,1886.59246680627,13.5512579699789,25.5376903071384,43.4349222032948
2015-08-01,179.794534453125,202.257028512397,223.22972184739,78.2183145225713,288.486482951126,350.766505404676,8.84411185606397,16.984889842184,18.7287614487631
2015-09-01,103.618750554687,123.648347305785,138.757429686747,194.927504747589,245.785308497177,80.1424986676392,13.9616440560411,15.6775415323059,8.95223428355398
2015-10-01,79.0062504453125,96.8466948471074,112.337753349398,114.164361047959,244.068396971333,152.535751800334,10.6847723910226,15.6226885321104,12.3505364984819
2015-11-01,64.27265771875,77.4958682933884,90.8542139236948,92.1925396815674,101.955388681452,56.7983670467678,9.60169462551103,10.0972961074464,7.53646913658961
2015-12-01,66.85547084375,80.2797526528926,92.7076314698795,66.0549276987935,65.7648577198506,92.5325424347427,8.12741826773998,8.10955348461619,9.61938368268689
2016-01-01,112.9249999375,130.18223027686,149.052612742972,207.426624108784,69.7584100546553,172.6005172676,14.4023131513234,8.3521500258709,13.1377516062529
2016-02-01,52.11640703125,67.4644631198347,78.9835350843373,68.389886913348,33.0860399821586,50.2464545376511,8.2698178283048,5.75204659074999,7.08847335733521
2016-03-01,59.2062511328125,70.4173557975207,81.6317255301205,63.1314423180271,24.3318959413754,25.1011214177578,7.94552970657256,4.9327371652436,5.01010193686294
2016-04-01,94.37343878125,115.048349561983,137.640564172691,190.503870578068,237.626269483049,128.053637945334,13.8023139573793,15.4151311860473,11.3160787353806
2016-05-01,187.844533359375,216.642978429752,249.874300401606,463.486734266578,550.222277223505,389.377488641981,21.5287420502587,23.45681728674,19.7326503197614
2016-06-01,26.4937504296875,30.8334715454545,34.6662654497992,8.54641792509932,8.22953776625135,28.9229704260122,2.92342571739036,2.86871709414702,5.3780080351383
2016-07-01,79.33984353125,90.3045479173554,103.735343935743,36.5490312921959,122.355796950157,249.55897855949,6.04557948357276,11.0614554625581,15.7974358222937
2016-08-01,68.7453131015625,78.9107446942149,87.4385547751004,19.8743103080513,55.611421522312,46.7694853274352,4.45806127235274,7.457306586316,6.83882192540756
2016-09-01,12.1023439453125,15.834710892562,18.4289158554217,2.53487663273934,2.32551203590484,1.30311234860161,1.5921295904352,1.52496296214198,1.14153946432071
2016-10-01,98.5687514375,120.891734227273,141.292369694779,142.300127126825,263.465491914767,158.037425969658,11.9289616952535,16.2316201259999,12.5712937269661
2016-11-01,111.810158046875,131.753720731405,156.426908650602,180.769092356011,183.708896268543,157.620375456628,13.4450396933594,13.5539254929538,12.5546953549908
2016-12-01,76.6867197109375,90.3847120867769,104.124497421687,75.9091998704435,75.6329223381756,122.975625467019,8.71258858608872,8.69671905595297,11.0894375631507
2017-01-01,95.62109484375,111.856197099174,126.916466176707,153.434488757286,49.0852732101744,91.0839424597701,12.3868675926275,7.00608829591623,9.54379078038544
2017-02-01,49.62187484375,63.5479344628099,74.4767073172691,58.5836040320921,26.0876549125447,40.8369396656742,7.65399268565708,5.10760755271435,6.39037867936433
2017-03-01,115.8695359375,135.265292719008,156.085949839357,186.566476698015,55.3021299292532,73.4201054584814,13.6589339517407,7.43654018541238,8.56855328853602
2017-04-01,55.50312615625,67.8917363636364,79.6329330200803,55.8050310053212,52.8304724065644,24.0770584436846,7.47027650126293,7.26845736085481,4.90683792718739
2017-05-01,199.254690859375,230.886780330579,266.03615184739,543.935391909328,604.735868125315,373.178510548424,23.3224225137383,24.5913779224613,19.3178288259427
2017-06-01,68.271877125,79.6772729090909,88.9349406987952,67.989590326789,54.3295627651601,196.43759588125,8.24558004792804,7.37085902491427,14.0156197109243
2017-07-01,44.8820315,52.0161167396694,59.8634555301205,11.178173724611,42.4767170343229,125.2373449715,3.34337759228763,6.51741643861453,11.1909492435405
2017-08-01,176.54218921875,196.717358057851,216.914461204819,69.2172491570718,310.300677140664,245.338603740099,8.31969044839241,17.615353449212,15.6632884076141
2017-09-01,77.6703114609375,90.1198327190083,97.6461830441767,72.1655811575342,116.870950921682,91.4781693141258,8.49503273434153,10.8106868848229,9.56442205855251
2017-10-01,198.617973671875,237.827694752066,277.288759879518,709.106218450841,1570.5589499845,821.765998166769,26.629048395518,39.6302781971625,28.6664612075988
